;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P26;P30
P1;0;3;0;3;3;3;4;0;3;4;3;4;0;3;3;4;0;0;0;4;3;4;0;3;3;0
P2;3;0;0;3;3;3;3;0;3;3;3;3;0;3;3;3;0;0;0;3;3;3;0;3;3;0
P3;0;0;0;0;0;0;0;3;0;0;0;0;4;0;0;0;3;4;4;0;0;0;4;0;0;0
P4;3;3;0;0;4;4;3;0;4;3;4;3;0;4;4;3;0;0;0;3;3;3;0;4;4;0
P5;3;3;0;4;0;4;3;0;4;3;4;3;0;4;4;3;0;0;0;3;3;3;0;4;4;0
P6;3;3;0;4;4;0;3;0;4;3;4;3;0;4;4;3;0;0;0;3;3;3;0;4;4;0
P7;4;3;0;3;3;3;0;0;3;4;3;4;0;3;3;4;0;0;0;4;3;4;0;3;3;0
P8;0;0;3;0;0;0;0;0;0;0;0;0;3;0;0;0;4;3;3;0;0;0;3;0;0;0
P9;3;3;0;4;4;4;3;0;0;3;4;3;0;4;4;3;0;0;0;3;3;3;0;4;4;0
P10;4;3;0;3;3;3;4;0;3;0;3;4;0;3;3;4;0;0;0;4;3;4;0;3;3;0
P11;3;3;0;4;4;4;3;0;4;3;0;3;0;4;4;3;0;0;0;3;3;3;0;4;4;0
P12;4;3;0;3;3;3;4;0;3;4;3;0;0;3;3;4;0;0;0;4;3;4;0;3;3;0
P13;0;0;4;0;0;0;0;3;0;0;0;0;0;0;0;0;3;4;4;0;0;0;4;0;0;0
P15;3;3;0;4;4;4;3;0;4;3;4;3;0;0;4;3;0;0;0;3;3;3;0;4;4;0
P16;3;3;0;4;4;4;3;0;4;3;4;3;0;4;0;3;0;0;0;3;3;3;0;4;4;0
P17;4;3;0;3;3;3;4;0;3;4;3;4;0;3;3;0;0;0;0;4;3;4;0;3;3;0
P18;0;0;3;0;0;0;0;4;0;0;0;0;3;0;0;0;0;3;3;0;0;0;3;0;0;0
P19;0;0;4;0;0;0;0;3;0;0;0;0;4;0;0;0;3;0;4;0;0;0;4;0;0;0
P20;0;0;4;0;0;0;0;3;0;0;0;0;4;0;0;0;3;4;0;0;0;0;4;0;0;0
P21;4;3;0;3;3;3;4;0;3;4;3;4;0;3;3;4;0;0;0;0;3;4;0;3;3;0
P22;3;3;0;3;3;3;3;0;3;3;3;3;0;3;3;3;0;0;0;3;0;3;0;3;3;0
P23;4;3;0;3;3;3;4;0;3;4;3;4;0;3;3;4;0;0;0;4;3;0;0;3;3;0
P24;0;0;4;0;0;0;0;3;0;0;0;0;4;0;0;0;3;4;4;0;0;0;0;0;0;0
P25;3;3;0;4;4;4;3;0;4;3;4;3;0;4;4;3;0;0;0;3;3;3;0;0;4;0
P26;3;3;0;4;4;4;3;0;4;3;4;3;0;4;4;3;0;0;0;3;3;3;0;4;0;0
P30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
