ID;years_in_industry;employee;export_vol;net_rev_cat;f_owner;external_links;spinoff;abroad_links;main_field;petofi_spinoff
P1;17;4;10;2;0;1;0;0;1;0
P2;21;80;0;3;1;8;0;1;1;0
P3;10;21;0;2;0;0;1;0;2;1
P4;19;9;0;2;0;13;0;0;1;0
P5;19;2;0;1;0;2;0;0;1;0
P6;21;2;5;1;1;0;0;0;1;0
P7;2;10;0;2;0;1;0;0;1;0
P8;21;53;74;3;1;9;1;3;2;0
P9;19;2;0;1;0;4;1;0;3;0
P10;5;5;0;2;0;5;1;0;1;1
P11;16;5;1;1;0;7;1;1;3;0
P12;23;22;1;3;0;5;1;0;1;0
P13;2;9;0;2;0;3;0;0;1;0
P15;17;5;1;2;0;9;0;1;3;0
P16;23;4;1;2;0;18;0;0;3;0
P17;17;57;2;2;0;21;1;0;1;1
P18;10;6;0;2;0;4;0;0;2;0
P19;3;19;96;3;1;1;1;1;2;0
P20;12;389;31;3;1;14;0;9;2;0
P21;14;5;0;2;0;6;0;0;1;0
P22;5;3;0;1;0;2;0;0;4;0
P23;18;5;70;2;0;0;1;0;1;1
P24;14;20;25;3;1;50;0;10;2;0
P25;6;8;30;3;0;4;0;0;2;0
P26;19;6;0;2;0;5;1;0;3;0
P30;12;4;0;2;0;1;1;0;4;1
